Production Order,Total Time (HH:MM:SS),From,To
1PDS2208-SR00007ZZWW	MX	S23250010552064,00:00:25,2024-12-10 14:39:28,2024-12-10 14:39:54
5706998549310,00:00:31,2024-12-10 14:44:22,2024-12-10 14:44:54
233,00:00:35,2024-12-10 14:54:34,2024-12-10 14:55:09
4006381492355,00:00:31,2024-12-10 15:08:22,2024-12-10 15:08:53
P001288343268,00:00:40,2024-12-10 15:11:32,2024-12-10 15:12:13
fsndlk,00:00:06,2024-12-11 13:51:28,2024-12-11 13:51:35
fsd,00:00:10,2024-12-11 14:16:37,2024-12-11 14:16:48
fdf,00:00:03,2024-12-11 14:17:31,2024-12-11 14:17:35
jhvjh,00:00:00,2024-12-11 14:21:10,2024-12-11 14:21:10
kjfsdbkjdkf,00:00:00,2024-12-11 14:32:04,2024-12-11 14:32:04
123434,00:00:00,2024-12-11 14:36:39,2024-12-11 14:36:39
fsdfsd,00:00:05,2024-12-11 14:49:06,2024-12-11 14:49:12
123,00:00:00,2024-12-11 14:55:09,2024-12-11 14:55:09
123565,00:00:00,2024-12-11 14:56:37,2024-12-11 14:56:37
123,00:00:04,2024-12-11 14:57:39,2024-12-11 14:57:44
342,00:00:04,2024-12-11 14:58:45,2024-12-11 14:58:49
123,00:00:00,2024-12-12 09:51:41,2024-12-12 09:51:41
20202,00:00:00,2024-12-12 09:53:02,2024-12-12 09:53:02
132,00:00:00,2024-12-15 14:27:09,2024-12-15 14:27:09
hdfghgf,00:00:00,2024-12-15 14:27:59,2024-12-15 14:27:59
132132,00:00:00,2024-12-15 14:30:08,2024-12-15 14:30:08
656+5+6,00:00:00,2024-12-15 14:35:46,2024-12-15 14:35:46
,00:00:00,2024-12-15 14:35:52,2024-12-15 14:35:52
523423,00:00:02,2024-12-15 14:41:21,2024-12-15 14:41:24
11,00:00:00,2024-12-15 14:45:25,2024-12-15 14:45:25
vcbvvb,00:00:00,2024-12-15 14:56:00,2024-12-15 14:56:00
kjkj,00:00:00,2024-12-15 15:06:25,2024-12-15 15:06:25
423423,00:00:00,2024-12-15 15:18:25,2024-12-15 15:18:25
,00:00:00,2024-12-15 15:18:28,2024-12-15 15:18:28
516,00:00:00,2024-12-15 15:20:44,2024-12-15 15:20:44
,00:00:00,2024-12-15 15:20:47,2024-12-15 15:20:47
5161,00:00:33,2024-12-15 15:54:38,2024-12-15 15:55:11
202,00:00:14,2024-12-15 16:19:30,2024-12-15 16:19:44
,00:00:00,2024-12-15 16:19:51,2024-12-15 16:19:51
888,00:00:00,2024-12-15 16:21:22,2024-12-15 16:21:22
,00:00:00,2024-12-15 16:21:36,2024-12-15 16:21:36
123,00:00:18,2024-12-15 18:26:02,2024-12-15 18:26:21
hh,00:00:17,2024-12-15 18:27:10,2024-12-15 18:27:27
,00:00:00,2024-12-15 18:27:33,2024-12-15 18:27:33
123,00:00:49,2024-12-15 18:27:47,2024-12-15 18:28:37
1`23,00:00:57,2024-12-15 18:28:46,2024-12-15 18:29:44
5711783844679,00:00:20,2024-12-15 18:34:03,2024-12-15 18:34:24
,00:00:00,2024-12-15 18:34:33,2024-12-15 18:34:33
hghg,00:00:46,2024-12-15 19:04:18,2024-12-15 19:05:04
5711783844679,00:00:59,2024-12-15 19:05:21,2024-12-15 19:06:21
123,00:00:01,2024-12-15 19:07:37,2024-12-15 19:07:38
002793810,00:00:46,2024-12-15 19:08:41,2024-12-15 19:09:28
002793810,00:00:37,2024-12-15 19:23:33,2024-12-15 19:24:10
,00:00:00,2024-12-15 19:24:13,2024-12-15 19:24:13
